s,X-ray (ID 01) / Impulse Imp
θ_c/°,Imp/# / s
,
3,3621
3.1,3472
3.2,2940
3.3,2430
3.4,2026
3.5,1655
3.6,1407
3.7,1289
3.8,1168
3.9,1007
4,973
4.1,867
4.2,765
4.3,645
4.4,517
4.5,421
4.6,311
4.7,243
4.8,232
4.9,220
5,191
5.1,164
5.2,163
5.3,121
5.4,136
5.5,129
5.6,113
5.7,99
5.8,93
5.9,83
6,82
6.1,79
6.2,75
6.3,83
6.4,82
6.5,66
6.6,74
6.7,69
6.8,66
6.9,63
7,70
7.1,73
7.2,65
7.3,61
7.4,73
7.5,68
7.6,69
7.7,76
7.8,70
7.9,73
8,78
8.1,71
8.2,71
8.3,83
8.4,73
8.5,68
8.6,73
8.7,70
8.8,84
8.9,71
9,67
9.1,59
9.2,67
9.3,66
9.4,76
9.5,62
9.6,63
9.7,69
9.8,85
9.9,76
10,67
10.1,71
10.2,72
10.3,76
10.4,74
10.5,75
10.6,76
10.7,63
10.8,75
10.9,74
11,63
11.1,70
11.2,80
11.3,79
11.4,83
11.5,81
11.6,76
11.7,92
11.8,93
11.9,99
12,134
12.1,150
12.2,220
12.3,214
12.4,93
12.5,102
12.6,108
12.7,118
12.8,149
12.9,140
13,154
13.1,193
13.2,248
13.3,396
13.4,495
13.5,848
13.6,1607
13.7,357
13.8,96
13.9,83
14,92
14.1,90
14.2,81
14.3,76
14.4,84
14.5,70
14.6,75
14.7,83
14.8,76
14.9,80
15,89
15.1,93
15.2,84
15.3,71
15.4,69
15.5,81
15.6,72
15.7,82
15.8,82
15.9,66
16,66
16.1,78
16.2,76
16.3,81
16.4,79
16.5,76
16.6,60
16.7,71
16.8,73
16.9,82
17,81
17.1,81
17.2,90
17.3,67
17.4,85
17.5,92
17.6,79
17.7,83
17.8,81
17.9,76
18,76
18.1,81
18.2,66
18.3,63
18.4,64
18.5,71
18.6,69
18.7,83
18.8,80
18.9,72
19,71
19.1,76
19.2,80
19.3,69
19.4,66
19.5,66
19.6,74
19.7,64
19.8,71
19.9,73
20,64
20.1,69
20.2,61
20.3,84
20.4,77
20.5,82
20.6,73
20.7,80
20.8,76
20.9,70
21,67
21.1,77
21.2,84
21.3,77
21.4,68
21.5,70
21.6,64
21.7,73
21.8,75
21.9,63
22,62
22.1,56
22.2,66
22.3,60
22.4,77
22.5,61
22.6,67
22.7,67
22.8,88
22.9,72
23,68
23.1,71
23.2,60
23.3,65
23.4,72
23.5,66
23.6,81
23.7,69
23.8,69
23.9,64
24,62
24.1,76
24.2,73
24.3,68
24.4,79
24.5,80
24.6,66
24.7,77
24.8,98
24.9,146
25,281
25.1,236
25.2,81
25.3,84
25.4,88
25.5,80
25.6,78
25.7,75
25.8,76
25.9,64
26,77
26.1,77
26.2,71
26.3,67
26.4,82
26.5,88
26.6,80
26.7,79
26.8,82
26.9,77
27,94
27.1,90
27.2,86
27.3,91
27.4,104
27.5,113
27.6,109
27.7,197
27.8,546
27.9,864
28,605
28.1,165
28.2,84
28.3,82
28.4,79
28.5,69
28.6,75
28.7,77
28.8,71
28.9,69
29,61
29.1,76
29.2,75
29.3,71
29.4,70
29.5,73
29.6,69
29.7,71
29.8,80
29.9,64
30,69
30.1,69
30.2,82
30.3,73
30.4,80
30.5,87
30.6,74
30.7,81
30.8,85
30.9,81
31,70
31.1,86
31.2,72
31.3,73
31.4,74
31.5,62
31.6,66
31.7,68
31.8,59
31.9,68
32,72
32.1,62
32.2,69
32.3,64
32.4,62
32.5,71
32.6,64
32.7,72
32.8,63
32.9,62
33,74
33.1,60
33.2,66
33.3,71
33.4,64
33.5,69
33.6,76
33.7,71
33.8,68
33.9,65
34,66
34.1,73
34.2,75
34.3,77
34.4,67
34.5,66
34.6,67
34.7,61
34.8,77
34.9,69
35,62
35.1,62
35.2,60
35.3,57
35.4,67
35.5,69
35.6,58
35.7,67
